Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
116350-48T,ICE Mortgage technology,2019-04-17,3700.0,Buyout/LBO,Public to Private,,140916-16T,ICE Mortgage technology,2020-09-04,11418.0,Merger/Acquisition,,,1.3853524982888432,506
10537-84T,Bausch + Lomb (TSE: BLCO),2007-10-26,3670.0,Buyout/LBO,Public to Private,,26156-17T,Bausch + Lomb (TSE: BLCO),2013-08-07,8700.0,Merger/Acquisition,,,5.782340862422998,2112
13376-35T,CHC Helicopter (PINX: CHHCF),2008-09-16,3552.21,Buyout/LBO,Public to Private,,28688-95T,CHC Helicopter (PINX: CHHCF),2014-01-21,310.0,IPO,,,5.347022587268994,1953
11062-72T,Alterra Mountain,2006-10-26,3500.0,Buyout/LBO,Public to Private,,29633-23T,Alterra Mountain,2014-01-31,187.5,IPO,,,7.266255989048597,2654
10235-26T,Florida East Coast Railway,2007-07-26,3500.0,Buyout/LBO,Public to Private,,77074-66T,Florida East Coast Railway,2017-07-07,2100.0,Merger/Acquisition,,,9.949349760438055,3634
34635-43T,Education Management,2006-06-01,3400.0,Buyout/LBO,Public to Private,,34636-15T,Education Management,2009-10-02,360.0,IPO,,,3.3374401095140316,1219
16298-47T,Interactive Data,2010-07-29,3400.0,Buyout/LBO,Public to Private,,49143-34T,Interactive Data,2015-12-14,5800.0,Merger/Acquisition,,,5.377138945927447,1964
10243-54T,Aleris,2006-12-19,3300.0,Buyout/LBO,Public to Private,,109347-94T,Aleris,2020-04-14,780.0,Merger/Acquisition,,,13.319644079397673,4865
11195-11T,Masonite,2005-04-06,3260.0,Buyout/LBO,Public to Private,,24727-96T,Masonite,2013-09-09,,IPO,,,8.427104722792608,3078
18393-76T,LXR Luxury Resorts,2005-08-16,3240.0,Buyout/LBO,Secondary Buyout,Public to Private,153712-63T,LXR Luxury Resorts,2019-07-01,,Merger/Acquisition,,,13.872689938398358,5067
10205-11T,Bloomin' Brands (NAS: BLMN),2007-06-14,3233.17,Buyout/LBO,Public to Private,Management Buyout,21136-96T,Bloomin' Brands (NAS: BLMN),2012-08-08,176.0,IPO,,,5.152635181382615,1882
10240-84T,ADESA (Automotive),2007-04-20,3228.0,Buyout/LBO,Add-on,Public to Private,189464-41T,ADESA (Automotive),2022-05-09,2195.0,Merger/Acquisition,Corporate Divestiture,,15.052703627652292,5498
10287-28T,Trusted Media Brands,2007-03-02,3201.0,Buyout/LBO,Public to Private,,31652-29T,Trusted Media Brands,2014-02-16,,Merger/Acquisition,,,6.962354551676934,2543
17779-51T,Envision Healthcare,2011-05-25,3200.0,Buyout/LBO,Secondary Buyout,Public to Private,25495-93T,Envision Healthcare,2013-08-13,1100.9,IPO,,,2.220396988364134,811
18838-36T,Change Healthcare,2011-11-02,3000.0,Buyout/LBO,Secondary Buyout,Public to Private,72266-95T,Change Healthcare,2016-06-28,4450.0,Merger/Acquisition,,,4.654346338124572,1700
140511-97T,Neustar,2017-08-08,2900.0,Buyout/LBO,Public to Private,,180030-07T,Neustar,2021-12-01,3100.0,Merger/Acquisition,,,4.314852840520191,1576
17809-03T,BJ's Wholesale Club (NYS: BJ),2011-09-30,2800.0,Buyout/LBO,Public to Private,,106041-79T,BJ's Wholesale Club (NYS: BJ),2018-06-28,637.5,IPO,,,6.743326488706366,2463
11676-07T,Graphic Packaging Holding (NYS: GPK),1996-03-27,2700.0,Buyout/LBO,Public to Private,,11675-89T,Graphic Packaging Holding (NYS: GPK),2003-08-08,,Reverse Merger,,,7.364818617385352,2690
10823-68T,R.J. Reynolds Tobacco,1989-02-28,2640.0,Buyout/LBO,Public to Private,,127261-45T,R.J. Reynolds Tobacco,2000-01-01,,Merger/Acquisition,Public to Private,,10.839151266255989,3959
10052-92T,La Quinta (Irving),2006-01-25,2280.0,Buyout/LBO,Public to Private,,29218-51T,La Quinta (Irving),2014-04-09,650.25,IPO,,,8.202600958247775,2996
