DealID,Company,Company_norm,DealType,DealType2,DealType3,DealDate,DealSize,DealStatus,EntryDate,HoldingYears,AbsDaysAfter,Seed_DealID,Seed_Company,Seed_DealDate,Seed_DealSize
106041-79T,BJ's Wholesale Club (NYS: BJ),bj's wholesale club (nys: bj),IPO,,,2018-06-28,637.5,Completed,2011-09-30,6.743326488706366,2463,17809-03T,BJ's Wholesale Club (NYS: BJ),2011-09-30,2800.0
11675-89T,Graphic Packaging Holding (NYS: GPK),graphic packaging holding (nys: gpk),Reverse Merger,,,2003-08-08,,Completed,1996-03-27,7.364818617385352,2690,11676-07T,Graphic Packaging Holding (NYS: GPK),1996-03-27,2700.0
127261-45T,R.J. Reynolds Tobacco,r j reynolds tobacco,Merger/Acquisition,Public to Private,,2000-01-01,,Completed,1989-02-28,10.839151266255989,3959,10823-68T,R.J. Reynolds Tobacco,1989-02-28,2640.0
215019-91T,R.J. Reynolds Tobacco,r j reynolds tobacco,Merger/Acquisition,Corporate Divestiture,,2014-07-30,,Completed,1989-02-28,25.415468856947296,9283,10823-68T,R.J. Reynolds Tobacco,1989-02-28,2640.0
215020-09T,R.J. Reynolds Tobacco,r j reynolds tobacco,Merger/Acquisition,Corporate Divestiture,,2015-06-01,,Completed,1989-02-28,26.253251197809718,9589,10823-68T,R.J. Reynolds Tobacco,1989-02-28,2640.0
29218-51T,La Quinta (Irving),la quinta (irving),IPO,,,2014-04-09,650.25,Completed,2006-01-25,8.202600958247775,2996,10052-92T,La Quinta (Irving),2006-01-25,2280.0
100413-91T,La Quinta (Irving),la quinta (irving),Merger/Acquisition,,,2018-05-30,988.0,Completed,2006-01-25,12.342231348391513,4508,10052-92T,La Quinta (Irving),2006-01-25,2280.0
254020-60T,La Quinta (Irving),la quinta (irving),Merger/Acquisition,Corporate Divestiture,,2024-03-08,,Completed,2006-01-25,18.116358658453116,6617,10052-92T,La Quinta (Irving),2006-01-25,2280.0
168292-36T,Diamond Resorts International,diamond resorts international,Merger/Acquisition,,,2021-08-02,1400.0,Completed,2016-09-02,4.914442162902122,1795,72259-93T,Diamond Resorts International,2016-09-02,2226.0
181954-00T,Brickyard Healthcare,brickyard healthcare,Merger/Acquisition,,,2021-01-01,,Completed,2006-03-14,14.803559206023271,5407,10026-19T,Brickyard Healthcare,2006-03-14,2225.0
34500-16T,Equity Inns,equity inns,Merger/Acquisition,,,2015-02-27,1925.0,Completed,2007-10-24,7.345653661875428,2683,10572-04T,Equity Inns,2007-10-24,2200.0
160510-15T,Petco Health & Wellness Company (NAS: WOOF),petco health & wellness company (nas: woof),IPO,,,2021-01-14,864.0,Completed,2006-10-26,14.220396988364135,5194,10736-29T,Petco Health & Wellness Company (NAS: WOOF),2006-10-26,2180.0
184891-24T,Getty Images Holdings (NYS: GETY),getty images holdings (nys: gety),Reverse Merger,,,2022-07-25,,Completed,2008-07-02,14.061601642710473,5136,10970-74T,Getty Images Holdings (NYS: GETY),2008-07-02,2135.0
232346-89T,Imperva,imperva,Merger/Acquisition,,,2023-12-04,3700.0,Completed,2019-01-10,4.898015058179329,1789,112780-45T,Imperva,2019-01-10,2116.0
18248-77T,Insight Communications,insight communications,Merger/Acquisition,,,2012-02-29,3000.0,Completed,2005-12-16,6.203969883641341,2266,10010-53T,Insight Communications,2005-12-16,2100.0
58564-99T,Laureate Education (NAS: LAUR),laureate education (nas: laur),IPO,,,2017-02-01,490.0,Completed,2007-07-20,9.538672142368242,3484,10166-41T,Laureate Education (NAS: LAUR),2007-07-20,2100.0
10864-45T,Metaldyne Performance Group,metaldyne performance group,Merger/Acquisition,,,2007-01-11,66.65,Completed,2000-11-28,6.119096509240246,2235,10864-36T,Metaldyne Performance Group,2000-11-28,2056.0
36954-82T,Metaldyne Performance Group,metaldyne performance group,IPO,,,2014-12-12,150.0,Completed,2000-11-28,14.036960985626283,5127,10864-36T,Metaldyne Performance Group,2000-11-28,2056.0
78016-24T,Metaldyne Performance Group,metaldyne performance group,Merger/Acquisition,,,2017-04-06,1500.0,Completed,2000-11-28,16.35318275154004,5973,10864-36T,Metaldyne Performance Group,2000-11-28,2056.0
117848-17T,Hexion,hexion,Merger/Acquisition,Corporate Divestiture,,2004-08-12,1200.0,Completed,1994-12-22,9.639972621492129,3521,117846-28T,Hexion,1994-12-22,2000.0
45314-29T,Highland Hospitality,highland hospitality,Merger/Acquisition,Recapitalization,,2011-03-10,2000.0,Completed,2007-07-17,3.646817248459959,1332,10198-81T,Highland Hospitality,2007-07-17,2000.0
103477-78T,Polycom,polycom,Merger/Acquisition,Corporate Divestiture,,2018-07-02,2216.64,Completed,2016-09-27,1.7604380561259412,643,67783-96T,Polycom,2016-09-27,2000.0
18521-56T,Ryerson (NYS: RYI),ryerson (nys: ryi),IPO,,,2014-08-08,121.0,Completed,2007-10-19,6.803559206023272,2485,10238-23T,Ryerson (NYS: RYI),2007-10-19,2000.0
36711-82T,Genesis HealthCare,genesis healthcare,Reverse Merger,,,2015-02-02,,Completed,2007-07-13,7.559206023271732,2761,10208-53T,Genesis HealthCare,2007-07-13,1995.0
202020-13T,Immucor,immucor,Merger/Acquisition,,,2023-03-15,1543.62,Completed,2011-08-19,11.570157426420261,4226,18714-43T,Immucor,2011-08-19,1973.0
226765-27T,Apptio,apptio,Merger/Acquisition,,,2023-08-10,4610.0,Completed,2019-01-10,4.5804243668720055,1673,113624-02T,Apptio,2019-01-10,1940.0
123669-73T,Omnivision Technologies,omnivision technologies,Merger/Acquisition,,,2018-08-15,2178.0,Completed,2016-01-28,2.546201232032854,930,36613-81T,Omnivision Technologies,2016-01-28,1900.0
50260-24T,Par Pharmaceutical Companies,par pharmaceutical companies,Merger/Acquisition,,,2015-09-25,8135.6,Completed,2012-09-28,2.9897330595482545,1092,21888-82T,Par Pharmaceutical Companies,2012-09-28,1900.0
57457-18T,SRA International,sra international,Merger/Acquisition,,,2015-11-30,1390.0,Completed,2011-07-20,4.3641341546885695,1594,18041-41T,SRA International,2011-07-20,1900.0
24112-54T,LNR Property,lnr property,Merger/Acquisition,,,2013-01-24,1053.0,Completed,2005-02-03,7.972621492128679,2912,10008-82T,LNR Property,2005-02-03,1886.2
11685-25T,Select Medical Holdings (NYS: SEM),select medical holdings (nys: sem),IPO,,,2009-09-25,300.0,Completed,2005-02-24,4.583162217659138,1674,10500-85T,Select Medical Holdings (NYS: SEM),2005-02-24,1827.7
17725-15T,Daikin Comfort Technologies North America,daikin comfort technologies north america,Merger/Acquisition,,,2012-11-01,3700.0,Completed,2008-02-13,4.717316906228611,1723,10490-50T,Daikin Comfort Technologies North America,2008-02-13,1812.0
115623-37T,Gymboree Group,gymboree group,Merger/Acquisition,,,2019-04-04,76.0,Completed,2010-11-23,8.361396303901437,3054,17374-24T,Gymboree Group,2010-11-23,1800.0
17153-65T,United Surgical Partners International,united surgical partners international,Merger/Acquisition,,,2009-05-15,,Completed,2007-04-19,2.0725530458590007,757,10269-37T,United Surgical Partners International,2007-04-19,1800.0
47271-07T,United Surgical Partners International,united surgical partners international,Merger/Acquisition,,,2015-06-16,3220.0,Completed,2007-04-19,8.158795345653662,2980,10269-37T,United Surgical Partners International,2007-04-19,1800.0
111695-50T,Adobe Marketo Engage,adobe marketo engage,Merger/Acquisition,,,2018-10-31,4736.0,Completed,2016-08-16,2.206707734428474,806,70104-61T,Adobe Marketo Engage,2016-08-16,1790.0
119748-70T,American Railcar Industries,american railcar industries,Merger/Acquisition,,,2019-07-26,418.27,Completed,2018-12-05,0.6379192334017796,233,113046-04T,American Railcar Industries,2018-12-05,1750.0
125609-32T,HealthMarkets,healthmarkets,Merger/Acquisition,,,2019-01-31,,Completed,2006-04-05,12.824093086926762,4684,10708-75T,HealthMarkets,2006-04-05,1725.22
165192-04T,Apria,apria,IPO,,,2021-02-11,150.0,Completed,2008-10-28,12.290212183436003,4489,11380-69T,Apria,2008-10-28,1700.0
186291-55T,Apria,apria,Merger/Acquisition,,,2022-03-29,1600.0,Completed,2008-10-28,13.415468856947296,4900,11380-69T,Apria,2008-10-28,1700.0
21431-44T,AMC Entertainment Holdings (NYS: AMC),amc entertainment holdings (nys: amc),Merger/Acquisition,,,2012-09-04,2660.0,Completed,2004-12-23,7.698836413415469,2812,10041-40T,AMC Entertainment Holdings (NYS: AMC),2004-12-23,1670.0
86203-81T,AMC Entertainment Holdings (NYS: AMC),amc entertainment holdings (nys: amc),IPO,,,2013-12-18,331.58,Completed,2004-12-23,8.985626283367557,3282,10041-40T,AMC Entertainment Holdings (NYS: AMC),2004-12-23,1670.0
176875-12T,Cvent,cvent,Reverse Merger,,,2021-12-08,326.0,Completed,2016-11-29,5.023956194387406,1835,69061-69T,Cvent,2016-11-29,1650.0
11737-18T,Community Health Systems (Franklin) (NYS: CYH),community health systems (franklin) (nys: cyh),IPO,PIPE,,2000-06-09,243.75,Completed,1996-07-10,3.915126625598905,1430,11737-09T,Community Health Systems (Franklin) (NYS: CYH),1996-07-10,1630.0
22377-70T,IQVIA (NYS: IQV),iqvia (nys: iqv),IPO,,,2013-05-09,947.37,Completed,2003-09-25,9.620807665982204,3514,10972-09T,IQVIA (NYS: IQV),2003-09-25,1610.19
166873-15T,JOANN,joann,IPO,,,2021-03-12,131.25,Completed,2011-03-18,9.984941820670773,3647,17786-17T,JOANN,2011-03-18,1600.0
33790-42T,Innkeepers USA Trust,innkeepers usa trust,Merger/Acquisition,,,2014-06-11,958.5,Completed,2007-06-26,6.959616700889802,2542,93342-97T,Innkeepers USA Trust,2007-06-26,1500.0
54526-87T,Gener8 Maritime,gener8 maritime,IPO,,,2015-06-25,210.0,Completed,2015-05-07,0.13415468856947296,49,40713-58T,Gener8 Maritime,2015-05-07,1450.0
99021-25T,Gener8 Maritime,gener8 maritime,Merger/Acquisition,,,2018-06-11,504.0,Completed,2015-05-07,3.0965092402464065,1131,40713-58T,Gener8 Maritime,2015-05-07,1450.0
37431-19T,Performance Food Group (NYS: PFGC),performance food group (nys: pfgc),IPO,,,2015-10-01,275.5,Completed,2008-05-27,7.345653661875428,2683,10952-74T,Performance Food Group (NYS: PFGC),2008-05-27,1400.25
21137-32T,Open Solutions,open solutions,Merger/Acquisition,,,2013-01-14,55.0,Completed,2007-01-23,5.976728268309377,2183,10272-61T,Open Solutions,2007-01-23,1400.0
193815-82T,The Fresh Market,the fresh market,Merger/Acquisition,,,2022-07-05,681.1,Completed,2016-04-27,6.187542778918549,2260,59557-96T,The Fresh Market,2016-04-27,1400.0
36730-63T,TriZetto Provider Solutions,trizetto provider solutions,Merger/Acquisition,,,2014-11-20,2627.8,Completed,2008-08-05,6.291581108829569,2298,11059-12T,TriZetto Provider Solutions,2008-08-05,1400.0
171676-99T,Krispy Kreme Doughnuts (NAS: DNUT),krispy kreme doughnuts (nas: dnut),IPO,,,2021-07-01,500.0,Completed,2016-07-27,4.9281314168377826,1800,69954-85T,Krispy Kreme Doughnuts (NAS: DNUT),2016-07-27,1350.0
71446-51T,Blue Coat Systems,blue coat systems,Merger/Acquisition,,,2016-08-01,4673.0,Completed,2012-02-15,4.459958932238193,1629,19904-23T,Blue Coat Systems,2012-02-15,1300.0
22457-53T,Bright Horizons Family Solutions (NYS: BFAM),bright horizons family solutions (nys: bfam),IPO,,,2013-01-25,222.2,Completed,2008-05-28,4.662559890485968,1703,10860-58T,Bright Horizons Family Solutions (NYS: BFAM),2008-05-28,1300.0
16800-85T,Intergraph,intergraph,Merger/Acquisition,,,2010-07-01,2125.0,Completed,2006-11-29,3.586584531143053,1310,10467-55T,Intergraph,2006-11-29,1300.0
248044-06T,NFP,nfp,Merger/Acquisition,,,2024-04-25,9129.0,Completed,2013-07-01,10.817248459958932,3951,24971-68T,NFP,2013-07-01,1300.0
76630-96T,Sports Authority,sports authority,Merger/Acquisition,,,2016-06-30,15.0,Completed,2006-05-03,10.160164271047227,3711,25868-71T,Sports Authority,2006-05-03,1300.0
